态度冷淡	渐渐衰老的状态	0
大厦	茅屋	0
描写心情	矫情	0
丰盛	贫乏	0
阳光很好	眼光好	0
形状多	满足于现状	0
自己很幸运	贬低自己	0
记忆难忘	出自史记	0
苏东坡	恩爱	0
精神饱满的样子	全副精神高度集中	0
相呼应	不相信	0
八月	八斗	0
跳舞	友好	0
脚踏实地	蜻蜓点水	0
托物抒怀	仙子	0
狗鼻子灵敏	草木丛生的样子	0
时间非常短	非常擅长	0
怀念父母	父亲	1
含送别之意	花草	0
黄昏日落	轩辕	0
辛勤劳动	疲劳	0
思恋情人	光影	0
已经做好准备	世界美好	0
亲自实践	自以为是	0
日子越过越好	越来越好	1
秋雨过后凉爽	雨过天晴	1
用尽各种办法	想尽办法	1
人有文化	没有变化	0
经常看到非常普通	非常安静	0
妇女	香烟	0
问问题	回答问题	0
五光十色	五色	1
商业繁荣	专业	0
冬梅	想尽办法	0
夏天凉快	三伏天	1
遐迩	远近	1
学习别人的优点	嘲笑别人	0
天际	惊天动地	0
冷血	血腥的杀戮	0
想念爱人	一家人幸福	0
人脾气暴躁	人死了	0
《春	早春	1
厨艺不好	不听话	0
心无	枯燥无味	0
互相夸奖	两个人相爱	0
两人在一起	一起努力	0
说话很大声	乱说话	0
慌乱的含手	来的很晚	0
日子还长	女子聪明	0
街头	热闹的街市	1
心里不安	内心不安	1
老去	祝福老师	0
夏季夜晚	仿写	0
女人痴情	冷静	0
夏季的景色	官吏	0
知己送别	血性	0
街道上人少	街上人少	1
山水云	馋的流口水	0
带有重阳	出师表	0
意外发生	学生优秀	0
气势之盛	气势	1
思念他人	保护别人	0
工作时间长	区曲工工	0
为国奉献	国家兴盛社会安宁	0
说话讲信用	说不出话	0
思念故乡	意思相同	0
坏事	三国故事	0
地理老师	各个地方	0
物品十分珍贵	人物品质高洁	0
人前一套背后一套	一心一意类似	0
豁达	小气	0
房屋破旧	大吃一惊	0
上课精彩	演讲精彩	1
花朵颜色	耳朵	0
太阳晒	虚心请教	0
雨天想念	怀念	1
差不多相同	不相信	0
壮志	母子情	0
赞美女人身材	五月	0
弹琴	孤舟	0
春节热闹景象	风景名胜	0
男女分手	女生好看	0
情感友谊	情侣很般配	0
事情简单	同学情谊	0
敬重佩服	在困难面前不屈服	0
项羽本纪	本领高强	0
好山好水	愁思	0
边塞	楠木	0
舞步	邯郸学步	0
咏春	画竹	0
时间更替	空间	0
人物高贵品质	人物心理	0
手天	夏天的雨	0
思念故乡思念亲人	荒芜	0
听讲认真	不听劝告	0
托古讽今	自立	0
发奋学习	发财	0
祖国变化	文化高	0
思恋孩子	顽强	0
脸上表情	人物神态	1
好品质	纸轻便好用	0
厉史故事	事事	0
女子仙气	白费力气	0
很拼命赚钱	话很多	0
茄子	互相依靠着过日子	0
小朋友	不小心	0
十分肯定	分别	0
春天下雪	天下	0
帮助很小	很热	0
哈哈大笑	忍不住笑	1
很突然	突然发生	1
不符合实际	不重视	0
人很重要	人不要脸	0
美好心愿	美好愿望	1
自己喝酒	喝酒	1
故乡	黄浦江畔	0
非常想念	反问	0
知识丰富学问深广	夫妻感情深	0
人逐渐成长	功成	0
惜别	坚贞	0
不顾	贪心大老不满足	0
眷念	几许	0
刀功好	未来美好	0
恐惧到极点	高兴到了极点	0
身体强壮有力	身体器官	0
长胖	时间长	0
回不到从前	从小到大	0
祝愿	祝福	1
生活充实美好	女生好看	0
情侣	公正	0
纪念	唯物主义	0
很值得	很零散不集中	0
别人丑	看不起别人	0
莲花精神	收获	0
舍不得走	不值得一提	0
